Question,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,Order,Featured,Categories
 What type of prescription is accepted?,what-type-of-prescription-is-accepted,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938a93362fdc861c3b6c1a8,false,false,Tue Dec 09 2025 22:56:51 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Any prescription written by a licensed healthcare provider that clearly states your need for sleep apnea therapy. It can come from an in-lab sleep study or an at-home sleep test interpreted by a qualified physician.,,false,prescription
Are there any hidden fees?,are-there-any-hidden-fees,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a79b299619d2b88e914,false,false,Sat Jul 05 2025 01:06:01 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"No. We believe in transparent pricing. All costs are clearly outlined upfront, with no surprise charges.",,false,general
Are there any side effects of CPAP therapy?,are-there-any-side-effects-of-cpap-therapy,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7a0ff7839cd203d608,false,false,Sat Jul 05 2025 01:06:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"Some people experience minor side effects like dryness or nasal congestion, but these usually go away with adjustments. Dumbo Health's sleep specialists will help you get comfortable with your treatment.",,false,general
Can Dumbo Health write my prescription?,can-dumbo-health-write-my-prescription,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938a988054a43689b9e489c,false,false,Tue Dec 09 2025 22:58:16 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"If you complete a sleep evaluation through Dumbo Health and receive a diagnosis, our board-certified sleep physicians can write or update your prescription.",,false,prescription
Can I change what I get?,can-i-change-what-i-get,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938af8986704f33fb96e549,false,false,Tue Dec 09 2025 23:23:53 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:03 GMT+0000 (Coordinated Universal Time),"If your needs change, the plan can adjust. You’re not stuck.",,false,resupply
Can I switch subscription plans later?,can-i-switch-subscription-plans-later,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7a6c164983b8b59917,false,false,Sat Jul 05 2025 01:06:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"Absolutely! Dumbo Health is all about flexibility. You can easily upgrade or downgrade your subscription anytime based on your needs. Just reach out, and we'll handle everything for you.",,false,general
Can I travel with my CPAP machine?,can-i-travel-with-my-cpap-machine,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,68687a7b35de09e3add07ea2,false,false,Sat Jul 05 2025 01:06:03 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"Yes. CPAP machines are considered medical devices, so you can bring them on flights in addition to your carry-on. At security, you may need to remove the device from its case for screening. If you plan to use it during the flight, notify your airline in advance and ask about power options, or bring a travel battery. Always pack your CPAP in carry-on (not checked luggage), and bring distilled water or plan to buy some at your destination.",,false,general
Can I upload my prescription from outside the United States?,can-i-upload-my-prescription-from-outside-the-united-states,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938a9e735190dde58621174,false,false,Tue Dec 09 2025 22:59:51 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"No. For regulatory reasons, Dumbo Health can only accept prescriptions written by licensed U.S. providers.",,false,prescription
Can I use an old prescription?,can-i-use-an-old-prescription,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,6938a968c283df0a453b8a7f,false,false,Tue Dec 09 2025 22:57:44 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),Tue Dec 16 2025 23:14:02 GMT+0000 (Coordinated Universal Time),"Most prescriptions for sleep apnea therapy do not expire, but some providers set time limits. If your prescription is unclear or outdated, you may be asked to provide a new one.",,false,prescription
Can I use insurance with Dumbo?,can-i-use-insurance-with-dumbo,68687a67e5482f687aa93558,68684afdb2c32b34342f1553,69495cae6ab14bebbbf519be,false,false,Mon Dec 22 2025 14:58:54 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 15:00:04 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 15:01:33 GMT+0000 (Coordinated Universal Time),Dumbo Health is cash pay first with transparent monthly plans. ,,false,cashpay
